access_type,threads,transfer_size,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
rand_write,64,64m,write,35405.9760,553.2219,0.2207,16777216.0000,65536.0000,0.0171,59.2312,14.5176,59.2316,128,0
seq_read,64,64m,read,47112.5844,736.1450,0.1472,16777216.0000,65536.0000,0.0022,44.5130,22.6431,44.5136,128,0
rand_read,64,64m,read,46501.4715,726.5963,0.1578,16777216.0000,65536.0000,0.0021,45.0979,23.0364,45.0986,128,0
seq_write,128,128k,write,3900.6005,31204.8218,0.0074,16777216.0000,128.0000,0.0305,1075.2964,120.3433,1075.2970,256,0
rand_write,128,128k,write,3092.8110,24742.4977,0.0100,16777216.0000,128.0000,0.0327,1356.1457,103.3286,1356.1462,256,0
seq_read,128,128k,read,34700.6055,277606.0752,0.0009,16777216.0000,128.0000,0.0065,120.8707,47.9922,120.8712,256,0
rand_read,128,128k,read,32888.6272,263110.0972,0.0010,16777216.0000,128.0000,0.0075,127.5300,56.3739,127.5305,256,0
seq_write,128,1m,write,24379.8347,24379.9011,0.0103,16777216.0000,1024.0000,0.0308,172.0394,20.7246,172.0399,256,0
rand_write,128,1m,write,23676.6744,23676.7349,0.0103,16777216.0000,1024.0000,0.0306,177.1488,22.2783,177.1492,256,0
seq_read,128,1m,read,50709.7061,50710.0678,0.0049,16777216.0000,1024.0000,0.0045,82.7115,28.2110,82.7121,256,0
rand_read,128,1m,read,51139.9480,51140.3160,0.0049,16777216.0000,1024.0000,0.0056,82.0156,27.1884,82.0162,256,0
seq_write,128,16m,write,25812.2864,1613.2737,0.1092,16777216.0000,16384.0000,0.0336,162.4920,57.8055,162.4925,256,0
rand_write,128,16m,write,27287.7713,1705.4934,0.1453,16777216.0000,16384.0000,0.0332,153.7057,15.8739,153.7064,256,0
seq_read,128,16m,read,50857.8228,3178.6447,0.0659,16777216.0000,16384.0000,0.0120,82.4704,39.1962,82.4712,256,0
rand_read,128,16m,read,51399.7016,3212.5089,0.0779,16777216.0000,16384.0000,0.0075,81.6010,34.4172,81.6017,256,0
seq_write,128,64m,write,33744.6851,527.2629,0.3712,16777216.0000,65536.0000,0.0348,124.2947,33.4749,124.2952,256,0
rand_write,128,64m,write,39051.5152,610.1847,0.4052,16777216.0000,65536.0000,0.0363,107.4036,23.3788,107.4044,256,0
seq_read,128,64m,read,47956.6395,749.3292,0.3405,16777216.0000,65536.0000,0.0176,87.4596,37.9488,87.4603,256,0
rand_read,128,64m,read,46210.2848,722.0406,0.3453,16777216.0000,65536.0000,0.0208,90.7650,42.7898,90.7656,256,0
