timestamp,PortXmitData_mlx5_0_o186i221,PortRcvData_mlx5_0_o186i221,PortXmitPkts_mlx5_0_o186i221,PortRcvPkts_mlx5_0_o186i221,PortXmitWait_mlx5_0_o186i221,PortXmitData_mlx5_1_o186i221,PortRcvData_mlx5_1_o186i221,PortXmitPkts_mlx5_1_o186i221,PortRcvPkts_mlx5_1_o186i221,PortXmitWait_mlx5_1_o186i221,PortXmitData_mlx5_2_o186i221,PortRcvData_mlx5_2_o186i221,PortXmitPkts_mlx5_2_o186i221,PortRcvPkts_mlx5_2_o186i221,PortXmitWait_mlx5_2_o186i221,PortXmitData_mlx5_4_o186i221,PortRcvData_mlx5_4_o186i221,PortXmitPkts_mlx5_4_o186i221,PortRcvPkts_mlx5_4_o186i221,PortXmitWait_mlx5_4_o186i221,PortRcvData_sum_o186i221,PortXmitWait_sum_o186i221,PortRcvPkts_sum_o186i221,PortXmitPkts_sum_o186i221,PortXmitData_sum_o186i221,PortXmitData_mlx5_0_o186i222,PortRcvData_mlx5_0_o186i222,PortXmitPkts_mlx5_0_o186i222,PortRcvPkts_mlx5_0_o186i222,PortXmitWait_mlx5_0_o186i222,PortXmitData_mlx5_1_o186i222,PortRcvData_mlx5_1_o186i222,PortXmitPkts_mlx5_1_o186i222,PortRcvPkts_mlx5_1_o186i222,PortXmitWait_mlx5_1_o186i222,PortXmitData_mlx5_2_o186i222,PortRcvData_mlx5_2_o186i222,PortXmitPkts_mlx5_2_o186i222,PortRcvPkts_mlx5_2_o186i222,PortXmitWait_mlx5_2_o186i222,PortXmitData_mlx5_4_o186i222,PortRcvData_mlx5_4_o186i222,PortXmitPkts_mlx5_4_o186i222,PortRcvPkts_mlx5_4_o186i222,PortXmitWait_mlx5_4_o186i222,PortRcvData_sum_o186i222,PortXmitWait_sum_o186i222,PortRcvPkts_sum_o186i222,PortXmitPkts_sum_o186i222,PortXmitData_sum_o186i222,PortRcvPkts_sum_aggregate,PortXmitPkts_sum_aggregate,PortRcvData_sum_aggregate,PortXmitWait_sum_aggregate,PortXmitData_sum_aggregate
45,2546993614,753815,2492936,45941,1872050705,2303942464,689643,2255044,42359,1949630360,2564556086,728053,2510090,41765,1914914412,2526672326,725528,2473111,42296,1980204085,2897039,7716799562,172361,9731181,9942164490,1378540844,414097,1349060,25683,1763820632,1481700363,470360,1449923,31159,2086202238,2093581212,610560,2049001,36470,2188407367,1846742019,548272,1807351,33478,2135465378,2043289,8173895615,126790,6655335,6800564438,299151,16386516,4940328,15890695177,16742728928
46,2440559700,712569,2388780,42239,1553581293,2121411946,617662,2076404,36554,1762175958,2355978208,677902,2305966,39659,1708528590,2376595350,688313,2326126,40474,1742156897,2696446,6766442738,158926,9097276,9294545204,1253315910,393221,1226569,25092,1400721249,1236914848,376676,1210501,23378,1562901015,1934636096,568094,1893485,33800,1825163827,1742353871,504570,1705218,29483,1722987621,1842561,6511773712,111753,6035773,6167220725,270679,15133049,4539007,13278216450,15461765929
47,2510670247,762587,2457383,47402,1872248831,2323154774,692910,2273888,42382,2064979343,2424230532,688695,2372798,39041,1917528848,2454062546,724048,2402082,43372,1998016307,2868240,7852773329,172197,9506151,9712118099,1388930024,429617,1359227,27561,1850021823,1517897535,474817,1485347,30993,2022564083,2156041530,628897,2110144,37440,2147107315,1830410087,544542,1791345,33249,2142356063,2077873,8162049284,129243,6746063,6893279176,301440,16252214,4946113,16014822613,16605397275
48,2683225051,766519,2626336,44167,1829618068,2334820704,668987,2285288,38659,1874908051,2419976613,692959,2368578,40414,1922220324,2383621639,682974,2333065,39370,1936288540,2811439,7563034983,162610,9613267,9821644007,1422977022,425599,1392542,26211,1735761741,1654984258,490664,1619612,30029,1791823594,1981018234,585742,1938803,35335,1868832379,1711463193,510686,1674933,31140,1661162033,2012691,7057579747,122715,6625890,6770442707,285325,16239157,4824130,14620614730,16592086714
49,2315981862,656187,2266848,37356,1539061168,2542783984,713488,2488821,40342,1661158705,2615138773,728068,2559645,40326,1552089294,2587575211,726598,2532679,41077,1659798457,2824341,6412107624,159101,9847993,10061479830,1384536957,393700,1355027,22560,1129866523,1548577426,440737,1515599,25365,1325582431,1659926486,473137,1624522,27293,1307865015,1661862181,484426,1626345,28936,1326473535,1792000,5089787504,104154,6121493,6254903050,263255,15969486,4616341,11501895128,16316382880
50,2208628649,603172,2161811,32433,1241459691,2301067039,634156,2252325,34290,1366330825,2286243185,616143,2237771,32437,1176152012,2568281751,709739,2513824,38943,1388782866,2563210,5172725394,138103,9165731,9364220624,1416831354,399372,1386658,22514,1178896270,1510600812,437678,1478380,25699,1481179831,1624454046,456851,1589873,25783,1351553863,1594348579,461954,1560407,26960,1261316248,1755855,5272946212,100956,6015318,6146234791,239059,15181049,4319065,10445671606,15510455415
51,1646922496,454584,1612006,24731,957384807,2194832382,598866,2148284,32182,1214819323,2251992549,610257,2204212,32447,1156187159,2707888227,730735,2650512,38506,1337817990,2394442,4666209279,127866,8615014,8801635654,1456883382,405953,1425888,22523,1007335707,1617526557,452721,1583100,25318,1215513339,1747864044,484950,1710699,26760,1237556781,1683917972,468165,1648071,25895,1087379076,1811789,4547784903,100496,6367758,6506191955,228362,14982772,4206231,9213994182,15307827609
52,1666498941,459691,1631219,24820,1086332438,1531701060,423096,1499202,23225,1153188094,2547268026,687092,2493226,36343,1232073526,3064031212,822141,2999039,42828,1330839735,2392020,4802433793,127216,8622686,8809499239,1503358221,414947,1471382,22717,1128400017,1714886730,479911,1678370,26883,1252778118,1827518479,506158,1788646,27852,1372792946,1794100878,497103,1755932,27198,1214529931,1898119,4968501012,104650,6694330,6839864308,231866,15317016,4290139,9770934805,15649363547
53,1809552485,494766,1771163,26820,1054675537,1584009143,440355,1550453,23882,1124055664,2595907264,703662,2540867,37334,1242532244,2995677701,819386,2932134,44456,1306137607,2458169,4727401052,132492,8794617,8985146593,1268636338,350174,1241673,19101,834352275,1400893506,384634,1371112,20733,1004511817,1795221969,493691,1757008,26926,1147806381,1747088081,477949,1709934,25896,1014539811,1706448,4001210284,92656,6079727,6211839894,225148,14874344,4164617,8728611336,15196986487
54,1713142541,450383,1676861,22670,698237141,1588569193,415906,1554883,21002,753947620,2139267871,560748,2093898,28206,805942890,2678745491,701491,2621970,35127,871373400,2128528,3129501051,107005,7947612,8119725096,1092867151,288100,1069722,14524,562609760,873449181,230838,854924,11720,520022746,1248990413,330271,1222503,16606,593881091,1238690990,328688,1212406,16596,548542391,1177897,2225055988,59446,4359555,4453997735,166451,12307167,3306425,5354557039,12573722831
