timestamp,PortXmitData_mlx5_0_o186i221,PortRcvData_mlx5_0_o186i221,PortXmitPkts_mlx5_0_o186i221,PortRcvPkts_mlx5_0_o186i221,PortXmitWait_mlx5_0_o186i221,PortXmitData_mlx5_1_o186i221,PortRcvData_mlx5_1_o186i221,PortXmitPkts_mlx5_1_o186i221,PortRcvPkts_mlx5_1_o186i221,PortXmitWait_mlx5_1_o186i221,PortXmitData_mlx5_2_o186i221,PortRcvData_mlx5_2_o186i221,PortXmitPkts_mlx5_2_o186i221,PortRcvPkts_mlx5_2_o186i221,PortXmitWait_mlx5_2_o186i221,PortXmitData_mlx5_4_o186i221,PortRcvData_mlx5_4_o186i221,PortXmitPkts_mlx5_4_o186i221,PortRcvPkts_mlx5_4_o186i221,PortXmitWait_mlx5_4_o186i221,PortRcvPkts_sum_o186i221,PortRcvData_sum_o186i221,PortXmitData_sum_o186i221,PortXmitWait_sum_o186i221,PortXmitPkts_sum_o186i221,PortXmitData_mlx5_0_o186i222,PortRcvData_mlx5_0_o186i222,PortXmitPkts_mlx5_0_o186i222,PortRcvPkts_mlx5_0_o186i222,PortXmitWait_mlx5_0_o186i222,PortXmitData_mlx5_1_o186i222,PortRcvData_mlx5_1_o186i222,PortXmitPkts_mlx5_1_o186i222,PortRcvPkts_mlx5_1_o186i222,PortXmitWait_mlx5_1_o186i222,PortXmitData_mlx5_2_o186i222,PortRcvData_mlx5_2_o186i222,PortXmitPkts_mlx5_2_o186i222,PortRcvPkts_mlx5_2_o186i222,PortXmitWait_mlx5_2_o186i222,PortXmitData_mlx5_4_o186i222,PortRcvData_mlx5_4_o186i222,PortXmitPkts_mlx5_4_o186i222,PortRcvPkts_mlx5_4_o186i222,PortXmitWait_mlx5_4_o186i222,PortRcvPkts_sum_o186i222,PortRcvData_sum_o186i222,PortXmitData_sum_o186i222,PortXmitWait_sum_o186i222,PortXmitPkts_sum_o186i222,PortRcvData_sum_aggregate,PortXmitPkts_sum_aggregate,PortXmitWait_sum_aggregate,PortRcvPkts_sum_aggregate,PortXmitData_sum_aggregate
27,2544618007,715489,2490622,40333,1597335528,2424892973,699601,2373442,40996,1581823552,2501315372,699047,2448262,39044,1598511435,2519074039,705888,2465597,39799,1568277910,160172,2820025,9989900391,6345948425,9777923,2148949755,624522,2103266,36933,1818122404,1596134359,474834,1562051,28937,1675138097,1180069445,345935,1154821,20783,1139490834,1430429642,424291,1399884,25879,1414669071,112532,1869582,6355583201,6047420406,6220022,4689607,15997945,12393368831,272704,16345483592
28,2413431133,652371,2362280,34658,1331675869,2585419034,704552,2530584,37932,1387509687,2614834187,718516,2559420,39210,1391448463,2092084582,589070,2047753,33114,1268537405,144914,2664509,9705768936,5379171424,9500037,2205789079,616177,2158894,34422,1601665277,1664053017,474751,1628560,27459,1538998687,1216642645,336551,1190731,18576,954365786,1476845461,414701,1445405,23201,1133344171,103658,1842180,6563330202,5228373921,6423590,4506689,15923627,10607545345,248572,16269099138
29,2303414360,655366,2254549,37375,1258092978,2314185622,632198,2265126,33936,1338556404,2752307595,747997,2693951,40003,1375043376,1805624633,503993,1767269,28254,1157952193,139568,2539554,9175532210,5129644951,8980895,2231054890,641051,2183611,37282,1491949831,1667996496,474547,1632501,27273,1453943055,1173037145,334975,1148055,19143,976995300,1458809658,412885,1427762,23413,1193973389,107111,1863458,6530898189,5116861575,6391929,4403012,15372824,10246506526,246679,15706430399
30,1843430023,504618,1804374,27112,998531983,1740476592,477198,1703560,25680,1076008480,3061286338,822458,2996405,42987,1136096197,1886144061,522031,1846135,28722,1028640220,124501,2326305,8531337014,4239276880,8350474,2306518263,627581,2257553,33515,1299372574,1596021327,445623,1562099,24742,1242857948,1206794124,333778,1181133,18346,810232032,1493115411,418420,1461324,23404,985266674,100007,1825402,6602449125,4337729228,6462109,4151707,14812583,8577006108,224508,15133786139
31,1858717373,493818,1819370,25421,849359254,1814908177,486498,1776454,25261,930546858,1968822067,525765,1927102,27079,957385737,1772215456,482615,1734637,25692,908394478,103453,1988696,7414663073,3645686327,7257563,2120343273,574752,2075397,30294,929418028,1494948862,407063,1463167,21763,893302352,1050670251,280815,1028353,14480,616325688,1224812717,335252,1198783,18097,751215419,84634,1597882,5890775103,3190261487,5765700,3586578,13023263,6835947814,188087,13305438176
32,1963244934,517535,1921686,26003,689601751,1897531563,496676,1857279,24964,710657377,1722639460,452047,1686090,22902,699156189,1868898072,491000,1829294,24539,711521013,98408,1957258,7452314029,2810936330,7294349,839906938,222493,822098,11316,436303238,927747916,244768,908073,12366,456149799,993465542,262775,972373,13378,537807484,978938241,260022,958153,13251,508210554,50311,990058,3740058637,1938471075,3660697,2947316,10955046,4749407405,148719,11192372666
33,1952483185,512713,1911100,25834,625973916,1793313896,470745,1755334,23290,612575402,1590774403,419992,1557065,21125,629608535,1880326033,493451,1840487,24988,699246790,95237,1896901,7216897517,2567404643,7063986,845855590,226899,827897,11701,516717856,970498620,257572,949895,13239,550810903,993714610,263454,972631,13438,531160534,1014996429,270945,993480,13844,564424629,52222,1018870,3825065249,2163113922,3743903,2915771,10807889,4730518565,147459,11041962766
34,1869266663,489573,1829693,24373,752122582,1800664184,471709,1762509,23709,729514177,1696263235,448283,1660277,22810,713709901,1777012263,469354,1739341,23775,706994659,94667,1878919,7143206345,2902341319,6991820,825242081,217871,807742,10972,453484971,890327679,235334,871458,11754,416866168,991596805,264252,970545,13588,529176046,1027070725,272024,1005247,13952,535155562,50266,989481,3734237290,1934682747,3654992,2868400,10646812,4837024066,144933,10877443635
35,1863255356,489183,1823814,24248,584208489,1739364194,453717,1702514,22356,509359140,1654436910,431071,1619379,21435,577130710,1756779534,457250,1719562,22624,612880955,90663,1831221,7013835994,2283579294,6865269,793278295,208352,776473,10405,391536823,907205575,238634,887963,12115,404335541,970498952,255731,949902,12880,474217983,987377785,260891,966434,13082,480493640,48482,963608,3658360607,1750583987,3580772,2794829,10446041,4034163281,139145,10672196601
36,1901555751,497977,1861269,24921,672457770,1708922584,450160,1672711,22712,619082257,1526786810,404280,1494406,20675,694296990,1786008504,469090,1748135,23580,761910347,91888,1821507,6923273649,2747747364,6776521,801717363,215342,784725,11169,501754512,890327040,234835,871427,11889,487698306,987377064,262715,966415,13539,565594115,1008475154,268100,987054,13688,553311271,50285,980992,3687896621,2108358204,3609621,2802499,10386142,4856105568,142173,10611170270
