access_type,threads,transfer_size,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
rand_read,32,16m,read,28633.1682,1789.6151,0.0172,16777216.0000,16384.0000,0.0009,18.3101,1.6178,18.3105,32,0
seq_write,32,64m,write,25996.2549,406.1993,0.0763,16777216.0000,65536.0000,0.0063,20.1674,2.7907,20.1678,32,0
rand_write,32,64m,write,25216.1882,394.0101,0.0750,16777216.0000,65536.0000,0.0063,20.7913,4.2001,20.7917,32,0
seq_read,32,64m,read,35626.7653,556.6908,0.0557,16777216.0000,65536.0000,0.0017,14.7155,1.4722,14.7161,32,0
rand_read,32,64m,read,35252.5347,550.8400,0.0572,16777216.0000,65536.0000,0.0016,14.8718,1.2693,14.8723,32,0
seq_write,64,128k,write,1461.9084,11695.2723,0.0054,16777216.0000,128.0000,0.0111,717.2649,55.7406,717.2652,64,0
rand_write,64,128k,write,1379.0826,11032.6666,0.0057,16777216.0000,128.0000,0.0122,760.3427,38.7322,760.3431,64,0
seq_read,64,128k,read,19783.1146,158266.4548,0.0004,16777216.0000,128.0000,0.0018,53.0031,1.8729,53.0036,64,0
rand_read,64,128k,read,20121.5982,160974.0522,0.0004,16777216.0000,128.0000,0.0017,52.1116,2.1216,52.1120,64,0
seq_write,64,1m,write,12415.7153,12415.7669,0.0045,16777216.0000,1024.0000,0.0125,84.4552,12.6841,84.4555,64,0
rand_write,64,1m,write,12735.3719,12735.4288,0.0045,16777216.0000,1024.0000,0.0121,82.3354,10.4401,82.3357,64,0
seq_read,64,1m,read,35406.8335,35407.3141,0.0018,16777216.0000,1024.0000,0.0021,29.6147,2.2819,29.6151,64,0
rand_read,64,1m,read,35874.7867,35875.2116,0.0017,16777216.0000,1024.0000,0.0018,29.2284,2.1296,29.2288,64,0
seq_write,64,16m,write,24133.3211,1508.3459,0.0390,16777216.0000,16384.0000,0.0118,43.4489,5.4890,43.4493,64,0
rand_write,64,16m,write,23335.3296,1458.4691,0.0433,16777216.0000,16384.0000,0.0119,44.9348,7.6746,44.9351,64,0
seq_read,64,16m,read,36385.3395,2274.1245,0.0277,16777216.0000,16384.0000,0.0016,28.8181,3.2553,28.8186,64,0
rand_read,64,16m,read,36210.6094,2263.2079,0.0279,16777216.0000,16384.0000,0.0017,28.9571,2.8394,28.9577,64,0
seq_write,64,64m,write,30653.1241,478.9601,0.1194,16777216.0000,65536.0000,0.0127,34.2074,6.5622,34.2078,64,0
rand_write,64,64m,write,31028.8734,484.8319,0.1246,16777216.0000,65536.0000,0.0141,33.7932,5.9933,33.7936,64,0
seq_read,64,64m,read,40250.8429,628.9300,0.0984,16777216.0000,65536.0000,0.0018,26.0506,2.6431,26.0510,64,0
rand_read,64,64m,read,40105.3853,626.6584,0.1013,16777216.0000,65536.0000,0.0018,26.1450,3.3411,26.1455,64,0
seq_write,128,128k,write,2447.3409,19578.7360,0.0064,16777216.0000,128.0000,0.0223,856.9101,23.9413,856.9104,128,0
rand_write,128,128k,write,2178.6460,17429.1746,0.0071,16777216.0000,128.0000,0.0253,962.5938,39.4531,962.5942,128,0
seq_read,128,128k,read,25232.8613,201864.0192,0.0006,16777216.0000,128.0000,0.0031,83.1115,7.8152,83.1119,128,0
rand_read,128,128k,read,25206.6202,201654.2355,0.0006,16777216.0000,128.0000,0.0056,83.1979,8.0143,83.1985,128,0
seq_write,128,1m,write,19568.3497,19568.4109,0.0065,16777216.0000,1024.0000,0.0235,107.1703,3.9193,107.1706,128,0
rand_write,128,1m,write,19605.6738,19605.7512,0.0065,16777216.0000,1024.0000,0.0239,106.9662,4.7581,106.9666,128,0
seq_read,128,1m,read,42893.7709,42894.6325,0.0030,16777216.0000,1024.0000,0.0061,48.8908,3.7741,48.8918,128,0
rand_read,128,1m,read,42417.7378,42418.5863,0.0030,16777216.0000,1024.0000,0.0185,49.4395,4.3407,49.4404,128,0
seq_write,128,16m,write,34497.8885,2156.1374,0.0586,16777216.0000,16384.0000,0.0239,60.7902,4.2925,60.7907,128,0
rand_write,128,16m,write,33920.7073,2120.0572,0.0586,16777216.0000,16384.0000,0.0240,61.8247,6.2491,61.8251,128,0
seq_read,128,16m,read,42881.4385,2680.1429,0.0470,16777216.0000,16384.0000,0.0057,48.9049,4.7993,48.9058,128,0
rand_read,128,16m,read,42842.3648,2677.6800,0.0467,16777216.0000,16384.0000,0.0071,48.9498,5.1397,48.9504,128,0
seq_write,128,64m,write,41260.2489,644.6957,0.1918,16777216.0000,65536.0000,0.0295,50.8271,2.9936,50.8274,128,0
rand_write,128,64m,write,40039.6236,625.6241,0.1897,16777216.0000,65536.0000,0.0265,52.3765,4.3511,52.3769,128,0
seq_read,128,64m,read,40852.2396,638.4445,0.1919,16777216.0000,65536.0000,0.0152,51.3247,8.1785,51.3351,128,0
rand_read,128,64m,read,41218.7781,644.0551,0.1899,16777216.0000,65536.0000,0.0056,50.8776,9.1584,50.8786,128,0
