access_type,threads,transfer_size,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
seq_read,64,16m,read,31989.3356,1999.3597,0.0316,16777216.0000,16384.0000,0.0016,32.7785,22.0052,32.7789,64,0
rand_read,64,16m,read,26414.3785,1650.9195,0.0385,16777216.0000,16384.0000,0.0015,39.6967,29.7234,39.6972,64,0
seq_write,64,64m,write,44515.4410,695.5655,0.0915,16777216.0000,65536.0000,0.0149,23.5549,14.5594,23.5553,64,0
rand_write,64,64m,write,41655.7869,650.8828,0.0768,16777216.0000,65536.0000,0.0143,25.1720,16.6180,25.1724,64,0
seq_read,64,64m,read,39791.8497,621.7623,0.1020,16777216.0000,65536.0000,0.0022,26.3509,13.8038,26.3515,64,0
rand_read,64,64m,read,39084.5450,610.7087,0.0939,16777216.0000,65536.0000,0.0015,26.8278,16.4357,26.8284,64,0
seq_write,128,128k,write,1881.5414,15052.3366,0.0083,16777216.0000,128.0000,0.0216,1114.5921,687.2786,1114.5925,128,0
rand_write,128,128k,write,406.0547,3248.4377,0.0388,16777216.0000,128.0000,0.0250,5164.7030,4731.2578,5164.7034,128,0
seq_read,128,128k,read,9838.8197,78710.7753,0.0013,16777216.0000,128.0000,0.0030,213.1502,171.6142,213.1508,128,0
rand_read,128,128k,read,989.2704,7914.1659,0.0159,16777216.0000,128.0000,0.0030,2119.8969,2074.6094,2119.8976,128,0
seq_write,128,1m,write,24526.6966,24526.8015,0.0050,16777216.0000,1024.0000,0.0243,85.5045,56.3662,85.5049,128,0
rand_write,128,1m,write,13024.9697,13024.9984,0.0097,16777216.0000,1024.0000,0.0239,161.0098,126.5340,161.0101,128,0
seq_read,128,1m,read,20468.6237,20468.7522,0.0061,16777216.0000,1024.0000,0.0027,102.4563,86.0038,102.4569,128,0
rand_read,128,1m,read,6337.6240,6337.6389,0.0198,16777216.0000,1024.0000,0.0032,330.9043,315.8156,330.9051,128,0
seq_write,128,16m,write,29978.4029,1873.6682,0.0646,16777216.0000,16384.0000,0.0263,69.9548,52.8605,69.9554,128,0
rand_write,128,16m,write,23820.7661,1488.8055,0.0801,16777216.0000,16384.0000,0.0240,88.0384,69.3482,88.0388,128,0
seq_read,128,16m,read,38961.7045,2435.1429,0.0520,16777216.0000,16384.0000,0.0080,53.8252,36.9758,53.8260,128,0
rand_read,128,16m,read,35529.7062,2220.6305,0.0532,16777216.0000,16384.0000,0.0056,59.0247,39.9758,59.0253,128,0
seq_write,128,64m,write,50005.2780,781.3413,0.1540,16777216.0000,65536.0000,0.0320,41.9381,29.7522,41.9386,128,0
rand_write,128,64m,write,50408.2496,787.6372,0.1616,16777216.0000,65536.0000,0.0304,41.6029,30.1426,41.6033,128,0
seq_read,128,64m,read,41613.8304,650.2244,0.1822,16777216.0000,65536.0000,0.0108,50.3949,35.4037,50.3956,128,0
rand_read,128,64m,read,40126.4753,626.9840,0.1865,16777216.0000,65536.0000,0.0115,52.2629,39.4318,52.2635,128,0
